FID,name,layer,gm_type
1,Inversiones y Corretaje total,02-5108000,Unknown Point Feature
2,ENEA,02-6010601,Unknown Point Feature
3,inmobiliaria santiago poniente,02-2332657,Unknown Point Feature
4,Flex Center,02-2467850,Unknown Point Feature
5,Parque industrial Los Libertadores,02-7455586,Unknown Point Feature
6,Parque Industrial Lo Boza,Unknown Point Feature,Unknown Point Feature
7,Barrio Industrial Puerto Santiago,Unknown Point Feature,Unknown Point Feature
8,barrio industrial puerta sur,Unknown Point Feature,Unknown Point Feature
9,Barrio industrial de Maipu,Unknown Point Feature,Unknown Point Feature
10,Barrio Industrial El Rosal,Unknown Point Feature,Unknown Point Feature
11,Ciudad Empresarial,Unknown Point Feature,Unknown Point Feature
